gene	cnv_id	KMS11_CNV	MM1S_CNV	RPMI_CNV
ADAMTS16	5:5242223:5249187	1.60655	2.06105	2.22622
ADAMTS19	5:127415641:129655698	1.68439	2.26294	1.94425
ADAMTS2	5:178260527:178827384	1.60403	1.9784	1.8895
ADAMTS9	3:63675291:65187405	1.67313	2.09906	2.08355
ADCK5	8:145562163:145755043	1.67689	2.10329	2.05929
ADCY8	8:131062289:131849592	1.67947	2.16719	2.05285
ADCY8	8:131853463:132292096	1.67947	2.16719	2.08256
ADI1	2:2916755:4137068	1.69949	1.97796	2.07619
ADORA2B	17:15794163:15938468	1.62746	2.02119	1.82915
ADRA1B	5:158782556:160382802	1.68278	2.00756	1.86866
ADRA1D	20:4209189:4228851	1.29816	2.01166	2.07419
ADRA1D	20:4228851:4590512	1.68402	2.01166	2.07419
ADRA2B	2:95347033:97767092	1.68725	1.96244	2.04621
ADRB2	5:147792151:148865536	1.6768	2.04983	1.89708
AEN	15:89171556:89177593	1.6361	1.99374	2.09277
AFAP1	4:7809257:7829856	1.41242	1.94963	1.80447
AFAP1L1	5:147792151:148865536	1.6768	2.04983	1.89708
AFF3	2:98156083:101009015	1.65462	2.05963	2.07677
AGBL2	11:47375476:48347141	1.67603	1.97122	1.82055
AGBL4	1:49153418:49176722	0.756466	2.00131	2.22472
AGBL4	1:49176722:50867650	1.08512	2.00131	2.22472
AGBL4	1:48832827:49153418	1.11377	2.00131	2.22472
AGFG1	2:228178302:228474049	1.67227	2.20054	1.81942
AGPAT5	8:6160277:6825278	1.62172	1.98116	1.75648
AK5	1:77643296:78025028	1.68585	2.11147	1.79774
ALAS1	3:51607294:52968763	1.66753	1.99747	2.06588
ALLC	2:2916755:4137068	1.69949	1.97796	2.07619
ALOX12	17:6885357:7041562	1.27732	1.91588	1.7873
ALOX12B	17:7796391:8051664	1.2649	1.94168	1.7873
ALOX12P2	17:6538669:6858363	1.24021	1.91588	1.7873
ALOX15B	17:7796391:8051664	1.2649	1.94168	1.7873
ALOXE3	17:7796391:8051664	1.2649	1.94168	1.7873
AMBRA1	11:46395417:46606351	1.68501	1.96974	1.80671
AMBRA1	11:46606351:46722521	1.68501	1.96974	2.22346
AMMECR1L	2:128518170:129639960	1.64576	2	2.07046
AMY1A	1:104005982:105250430	1.68203	1.7096	1.79019
AMY1B	1:104005982:105250430	1.68203	1.7096	1.79019
AMY1C	1:104005982:105250430	1.68203	1.7096	1.79019
AMY2A	1:104005982:105250430	1.68203	1.7096	1.79019
AMY2B	1:104005982:105250430	1.68203	1.7096	1.79019
ANAPC1	2:112634675:112856903	1.2484	2.08047	2.09757
ANAPC1	2:112576594:112634675	1.57566	2.08047	2.09757
ANGPT2	8:6160277:6825278	1.62172	1.98116	1.75648
ANK3	10:62082851:62085263	1.45584	1.79073	1.80614
ANKHD1	5:139511834:139785729	1.69358	2.00003	1.9284
ANKHD1-EIF4EBP3	5:139920049:140083166	1.69358	1.93456	1.9284
ANKHD1-EIF4EBP3	5:139511834:139785729	1.69358	2.00003	1.9284
ANKRD13C	1:70819645:70824336	1.68421	1.77228	1.81763
ANKRD20A8P	2:95347033:97767092	1.68725	1.96244	2.04621
ANKRD23	2:95347033:97767092	1.68725	1.96244	2.04621
ANKRD28	3:15847909:16621388	1.68739	2.11813	2.05781
ANKRD36	2:97866682:97882717	1.10205	2.05963	2.01691
ANKRD36	2:97882717:98152304	1.65462	2.05963	2.01691
ANKRD36	2:97795491:97866682	1.68725	2.05963	2.01691
ANKRD36B	2:97882717:98152304	1.65462	2.05963	2.01691
ANKRD36B	2:98156083:101009015	1.65462	2.05963	2.07677
ANKRD39	2:95347033:97767092	1.68725	1.96244	2.04621
ANO9	11:412565:432504	1.54809	1.98615	1.8238
ANXA6	5:150465048:150558711	1.67562	1.94467	1.89708
AP3S1	5:115130820:115591737	1.68008	2.20788	2.21335
APBB3	5:139920049:140083166	1.69358	1.93456	1.9284
APC	5:111242232:113090174	1.68008	2.16423	2.21207
APOBEC3A	22:39357335:39388854	1.23378	2.01373	2.04966
APOBEC3B	22:39357335:39388854	1.23378	2.01373	2.04966
APOL3	22:36556890:36565657	1.31098	1.93916	2.04225
AQPEP	5:115130820:115591737	1.68008	2.20788	2.21335
ARAP3	5:140558722:142267353	1.69213	2.00971	1.94207
ARC	8:142896616:143720546	1.5868	2.05011	1.99732
ARFGAP2	11:46872549:47375476	1.67603	1.97122	2.21089
ARHGAP1	11:46606351:46722521	1.68501	1.96974	2.22346
ARHGAP15	2:144110054:146718498	1.63594	2.20482	2.14504
ARHGAP26	5:142274472:142635216	1.69213	1.99058	1.94207
ARHGAP26	5:140558722:142267353	1.69213	2.00971	1.94207
ARHGAP39	8:145757305:146293415	1.67689	2.05529	2.05929
ARHGAP39	8:145562163:145755043	1.67689	2.10329	2.05929
ARHGAP5	14:32590769:32630508	1.67356	2.16302	1.81822
ARHGEF10	8:1300018:1828560	1.64876	1.96361	1.78993
ARHGEF10	8:1838342:1949662	1.64551	2.07206	1.78993
ARHGEF16	1:3378700:3396118	1.48959	1.95005	2.2043
ARHGEF3	3:56858788:56886720	1.64727	2.05078	2.07937
ARHGEF3	3:56608643:56857394	1.66753	2.15407	2.07937
ARHGEF37	5:148895313:150177109	1.6768	1.99311	1.89708
ARHGEF4	2:131641066:132482231	1.68655	2.02338	2.1097
ARID5A	2:95347033:97767092	1.68725	1.96244	2.04621
ARL10	5:175627914:176530427	1.67425	1.96064	1.89871
ARL8B	3:5020455:5534507	1.65737	2.03869	2.06499
ARRB2	17:4606829:4633013	0.940515	1.93708	1.79799
ARSI	5:148895313:150177109	1.6768	1.99311	1.89708
ART3	4:76948602:76955048	0.728074	2.17983	1.82447
ASAH1	8:17935493:18145272	1.66701	2.05846	1.79414
ASAP1	8:131062289:131849592	1.67947	2.16719	2.05285
ASAP1-IT1	8:131062289:131849592	1.67947	2.16719	2.05285
ASB17	1:76384801:77109734	1.68585	2.14357	1.82705
ASGR1	17:7041562:7082224	1.01121	1.91588	1.7873
ASGR1	17:7082224:7336565	1.26521	1.91588	1.7873
ASGR2	17:6885357:7041562	1.27732	1.91588	1.7873
ASTL	2:95347033:97767092	1.68725	1.96244	2.04621
ATG12	5:115130820:115591737	1.68008	2.20788	2.21335
ATG13	11:46606351:46722521	1.68501	1.96974	2.22346
ATP10A	15:25805921:25926201	1.59672	2.07606	2.04935
ATP10A	15:25932709:26123197	1.59672	2.05689	2.09225
ATP10B	5:158782556:160382802	1.68278	2.00756	1.86866
ATP1B2	17:7555750:7582226	0.051496	1.91588	1.7873
ATP1B2	17:7539414:7555750	0.087317	1.91588	1.7873
ATP5I	4:572655:1047300	1.64352	2.00152	1.83265
ATP6V0E1	5:170620625:172971287	1.67686	1.96075	1.89871
ATP6V1B2	8:19974303:20348673	1.66701	1.96745	1.82728
ATP6V1H	8:54125263:55210088	1.66839	2.11491	1.78276
ATRIP	3:47535626:48696317	1.67564	1.99747	2.03961
ATXN7	3:63675291:65187405	1.67313	2.09906	2.08355
AURKB	17:8072709:8108335	1.53345	1.94168	1.7873
AVEN	15:34198380:34201333	1.63776	2.07965	1.81428
B4GALT7	5:176548393:177233989	1.67425	1.9784	1.88754
BAI1	8:142896616:143720546	1.5868	2.05011	1.99732
BAP1	3:51607294:52968763	1.66753	1.99747	2.06588
BARHL2	1:90495783:91849001	1.67596	2.1189	1.80887
BBS9	7:33175493:33178964	1.63961	2.10965	2.27804
BCL11A	2:60722913:60724346	1.36151	1.96239	2.08456
BCL2L11	2:111387399:112021204	1.26798	2.08047	2.09757
BCL6B	17:6885357:7041562	1.27732	1.91588	1.7873
BEND5	1:49176722:50867650	1.08512	2.00131	2.22472
BEND6	6:56845584:56898544	1.03981	2.25326	2.16012
BFSP1	20:17473663:17522900	1.67314	2.10038	1.97885
BFSP2	3:133133194:133141395	1.58989	2.08179	2.29109
BHLHE40	3:5020455:5534507	1.65737	2.03869	2.06499
BIN1	2:127678163:128445127	1.64576	1.99062	2.07046
BMP2	20:6611354:7021062	1.66754	2.14342	2.15465
BNIP1	5:170620625:172971287	1.67686	1.96075	1.89871
BOP1	8:144754082:145550053	1.67689	2.15665	2.05929
BRD8	5:137412874:138624219	1.69358	2.01947	1.92597
BREA2	8:144754082:145550053	1.67689	2.15665	2.05929
BSND	1:55383788:55851391	1.61977	1.98051	2.22108
BTBD9	6:38474286:38479412	1.53127	2.15868	2.03199
BTD	3:14296571:15708124	1.68739	2.07287	2.08622
BTNL3	5:178840002:180560627	1.68912	1.9784	1.90759
BTNL8	5:178840002:180560627	1.68912	1.9784	1.90759
BTNL9	5:178840002:180560627	1.68912	1.9784	1.90759
BUB1	2:111387399:112021204	1.26798	2.08047	2.09757
C11orf35	11:553146:561646	1.40621	1.98615	1.8238
C11orf49	11:46872549:47375476	1.67603	1.97122	2.21089
C11orf58	11:16582522:16836277	1.68944	2.04209	1.80622
C11orf94	11:45434889:46023558	1.66024	1.99414	1.80671
C12orf45	12:105369087:105386828	1.36672	2.0553	1.80126
C17orf100	17:6538669:6858363	1.24021	1.91588	1.7873
C17orf107	17:4633013:5044333	1.2158	1.93708	1.79799
C17orf49	17:6885357:7041562	1.27732	1.91588	1.7873
C17orf59	17:8072709:8108335	1.53345	1.94168	1.7873
C17orf74	17:7082224:7336565	1.26521	1.91588	1.7873
C1orf141	1:67313962:67779233	1.68421	2.28543	1.81763
C1orf168	1:57208458:58744117	1.60515	2.02905	2.21627
C1orf177	1:55182425:55383788	1.13539	1.98051	2.22108
C1orf185	1:51564451:52254638	1.20387	2.11592	2.22512
C1orf204	1:159819758:159833426	1.59536	2.14567	2.16389
C1QL2	2:118863131:120622975	1.63996	1.97842	2.05722
C1QTNF2	5:158782556:160382802	1.68278	2.00756	1.86866
C1QTNF4	11:47375476:48347141	1.67603	1.97122	1.82055
C20orf141	20:2680955:3020321	1.65399	1.97711	2.07419
C20orf196	20:5590677:5840089	1.65055	2.05718	2.09476
C2orf15	2:98156083:101009015	1.65462	2.05963	2.07677
C2orf27A	2:131641066:132482231	1.68655	2.02338	2.1097
C2orf40	2:104934246:106881954	1.68099	2.05907	2.09794
C2orf49	2:104934246:106881954	1.68099	2.05907	2.09794
C2orf76	2:118863131:120622975	1.63996	1.97842	2.05722
C2orf83	2:228479806:229030882	1.67227	2.20054	1.79831
C3orf14	3:61654107:62611392	1.14781	2.08545	2.07774
C3orf20	3:14296571:15708124	1.68739	2.07287	2.08622
C3orf35	3:37454107:38176720	1.65745	2.04981	2.03965
C3orf49	3:63675291:65187405	1.67313	2.09906	2.08355
C5orf20	5:134068699:135087461	1.67765	1.98113	1.94425
C5orf24	5:134068699:135087461	1.67765	1.98113	1.94425
C5orf45	5:178840002:180560627	1.68912	1.9784	1.90759
C5orf46	5:147279169:147543197	1.6768	2.24862	1.94207
C5orf54	5:158782556:160382802	1.68278	2.00756	1.86866
C5orf58	5:169440739:170129794	1.64681	1.95702	1.89871
C5orf60	5:178840002:180560627	1.68912	1.9784	1.90759
C8A	1:57208458:58744117	1.60515	2.02905	2.21627
C8B	1:57208458:58744117	1.60515	2.02905	2.21627
C8orf33	8:145757305:146293415	1.67689	2.05529	2.05929
C8orf82	8:145562163:145755043	1.67689	2.10329	2.05929
C8orf86	8:38238449:38447984	1.65263	2.00175	1.79175
CADPS	3:61654107:62611392	1.14781	2.08545	2.07774
CADPS	3:62619266:62712327	1.14781	2.08545	2.09193
CADPS	3:62712327:62949349	1.67618	2.08545	2.09193
CAMK1D	10:12402864:12434342	1.56727	2.03147	2.06582
CAMK2A	5:148895313:150177109	1.6768	1.99311	1.89708
CAMK2B	7:44266408:44267964	1.40585	1.93413	2.23606
CAMK2G	10:75633195:75634304	1.4245	2.03738	1.80076
CAMK4	5:109969303:110902900	1.69046	2.21008	2.28915
CAMLG	5:134068699:135087461	1.67765	1.98113	1.94425
CAMP	3:47535626:48696317	1.67564	1.99747	2.03961
CAMTA1	1:7020709:7023266	1.48431	1.97864	2.19094
CAMTA2	17:4633013:5044333	1.2158	1.93708	1.79799
CAND2	3:12577120:13141194	1.68843	2.07805	2.07417
CANX	5:178840002:180560627	1.68912	1.9784	1.90759
CAPN7	3:14296571:15708124	1.68739	2.07287	2.08622
CARS2	13:111329492:111330324	1.48333	2.04742	1.78927
CAT	11:34487861:34491810	1.38871	2.08645	1.75384
CATSPER3	5:134068699:135087461	1.67765	1.98113	1.94425
CAV3	3:8630041:8952522	1.65773	2.07911	2.05709
CBWD2	2:114196006:114264452	1.33501	2.02783	2.04608
CBY3	5:178840002:180560627	1.68912	1.9784	1.90759
CCBL2	1:89102024:89478753	1.67596	2.21814	1.80887
CCDC115	2:130958416:131111213	1.68655	1.98916	2.03595
CCDC12	3:46850415:47487754	1.66493	2.01049	2.07878
CCDC13	3:42374907:43196701	1.66493	2.04915	2.05623
CCDC138	2:108282388:109763249	1.68933	2.08047	2.09757
CCDC25	8:27001430:27637303	1.69724	1.93141	1.78805
CCDC51	3:47535626:48696317	1.67564	1.99747	2.03961
CCDC57	17:80107629:80108815	1.48983	1.97185	2.05938
CCDC66	3:56608643:56857394	1.66753	2.15407	2.07937
CCDC74A	2:131641066:132482231	1.68655	2.02338	2.1097
CCDC74B	2:130565445:130955094	1.64576	1.98916	2.03595
CCDC93	2:116664763:118863131	1.63996	2.19687	2.05722
CCK	3:41837916:42358555	1.66493	2.12696	2.0945
CCL20	2:228479806:229030882	1.67227	2.20054	1.79831
CCND2	12:4388299:4401004	1.19568	1.96934	2.05473
CCNG1	5:162862965:163264985	1.66882	2.25609	1.93814
CCNJL	5:158782556:160382802	1.68278	2.00756	1.86866
CCNT2	2:135071015:136658373	1.65333	2.08584	2.07442
CCR8	3:38277483:39908110	1.66493	2.05372	2.06214
CD14	5:139920049:140083166	1.69358	1.93456	1.9284
CD68	17:7340887:7539414	1.31731	1.91588	1.7873
CD74	5:148895313:150177109	1.6768	1.99311	1.89708
CDC23	5:137412874:138624219	1.69358	2.01947	1.92597
CDC25A	3:47535626:48696317	1.67564	1.99747	2.03961
CDC25C	5:137412874:138624219	1.69358	2.01947	1.92597
CDC7	1:91917233:91973358	1.67596	1.95048	1.80887
CDC7	1:91990738:92107852	1.67596	2.00515	1.80887
CDHR2	5:175627914:176530427	1.67425	1.96064	1.89871
CDK8	13:26968680:27250359	1.65232	2.00633	1.79579
CDKL3	5:133664796:133706803	1.26234	1.99301	1.94425
CDKN2AIPNL	5:133706803:133990908	1.67765	1.99301	1.94425
CDO1	5:115130820:115591737	1.68008	2.20788	2.21335
CDRT1	17:15511347:15602676	1.62746	2.0206	1.91757
CDRT15	17:14042386:14185186	1.60884	2.0206	1.76456
CDX1	5:148895313:150177109	1.6768	1.99311	1.89708
CELF1	11:47375476:48347141	1.67603	1.97122	1.82055
CELSR3	3:48696317:48721867	1.26179	1.99747	2.03961
CELSR3	3:47535626:48696317	1.67564	1.99747	2.03961
CEP120	5:121645744:124219783	1.68614	2.17124	1.94947
CFC1	2:131130185:131617304	1.68655	2.02338	2.03595
CFC1B	2:131130185:131617304	1.68655	2.02338	2.03595
CHCHD4	3:13325280:14178112	1.68843	2.07287	2.0475
CHCHD5	2:113099520:113502283	1.66333	2.01071	2.07995
CHCHD6	3:126581912:126584673	1.4604	2.013	2.09133
CHCHD7	8:57118099:58114845	1.63179	2.11491	1.79694
CHD3	17:7796391:8051664	1.2649	1.94168	1.7873
CHRAC1	8:140761604:142558690	1.63586	2.05011	1.99732
CHRFAM7A	15:30653763:30706959	1.58523	1.70639	1.84345
CHRM4	11:46395417:46606351	1.68501	1.96974	1.80671
CHRNA2	8:27001430:27637303	1.69724	1.93141	1.78805
CHRNA6	8:42193497:43089838	1.69095	2.03669	1.82701
CHRNB1	17:7340887:7539414	1.31731	1.91588	1.7873
CHRNB3	8:42193497:43089838	1.69095	2.03669	1.82701
CHRNE	17:4633013:5044333	1.2158	1.93708	1.79799
CHST1	11:45434889:46023558	1.66024	1.99414	1.80671
CHST10	2:101009945:101892632	1.65462	1.97273	2.07677
CHST10	2:98156083:101009015	1.65462	2.05963	2.07677
CHSY3	5:127415641:129655698	1.68439	2.26294	1.94425
CIAO1	2:95347033:97767092	1.68725	1.96244	2.04621
CKAP2L	2:113518875:113609035	1.66333	1.94081	2.07995
CKAP2L	2:113099520:113502283	1.66333	2.01071	2.07995
CKAP5	11:46732728:46773181	1.67603	1.96974	2.22346
CLCA1	1:86860222:87099066	1.67596	2.13867	1.79956
CLCA2	1:86860222:87099066	1.67596	2.13867	1.79956
CLCA4	1:86860222:87099066	1.67596	2.13867	1.79956
CLDN7	17:7082224:7336565	1.26521	1.91588	1.7873
CLEC10A	17:6885357:7041562	1.27732	1.91588	1.7873
CLEC18C	16:70156308:70216633	1.67824	1.96754	2.12288
CLK4	5:177407387:178118821	1.67594	1.9784	1.8895
CLN8	8:1300018:1828560	1.64876	1.96361	1.78993
CLTB	5:175627914:176530427	1.67425	1.96064	1.89871
CLU	8:27001430:27637303	1.69724	1.93141	1.78805
CMTM6	3:32106869:32566287	1.65745	2.1995	2.14326
CMTM7	3:32106869:32566287	1.65745	2.1995	2.14326
CMTM8	3:32106869:32566287	1.65745	2.1995	2.14326
CNGA3	2:98156083:101009015	1.65462	2.05963	2.07677
CNNM3	2:95347033:97767092	1.68725	1.96244	2.04621
CNNM4	2:95347033:97767092	1.68725	1.96244	2.04621
CNOT6	5:178840002:180560627	1.68912	1.9784	1.90759
CNOT8	5:153450434:155308479	1.67562	2.0197	1.89708
CNTN3	3:74153123:74487780	1.67337	2.07693	2.19262
CNTN3	3:74487780:75326622	1.67337	2.29448	2.19262
CNTN4	3:2364312:2833980	1.65203	2.20308	2.15891
CNTN4	3:2054263:2347840	1.65203	2.20643	2.15891
CNTN6	3:1365629:1366701	1.64999	2.28911	1.72814
CNTN6	3:1366701:1679984	1.64999	2.28911	2.15891
CNTN6	3:1152323:1365629	1.64999	2.28911	2.18769
CNTROB	17:7796391:8051664	1.2649	1.94168	1.7873
COL15A1	9:101763362:101779048	1.54497	1.95203	1.78731
COL22A1	8:139111655:140252094	1.63586	2.05011	1.98137
COL23A1	5:177407387:178118821	1.67594	1.9784	1.8895
COL4A3	2:228178302:228474049	1.67227	2.20054	1.81942
COL6A4P1	3:14296571:15708124	1.68739	2.07287	2.08622
COL7A1	3:47535626:48696317	1.67564	1.99747	2.03961
COLEC11	2:2916755:4137068	1.69949	1.97796	2.07619
COLQ	3:14296571:15708124	1.68739	2.07287	2.08622
COMMD10	5:115591737:115622131	1.68008	1.74166	2.21335
COMMD10	5:115622131:116220907	1.68008	2.09797	2.21335
COMMD10	5:115130820:115591737	1.68008	2.20788	2.21335
COMMD5	8:145757305:146293415	1.67689	2.05529	2.05929
COPB1	11:14380866:14493093	1.68944	2.00477	1.80622
COX10	17:14042386:14185186	1.60884	2.0206	1.76456
COX10	17:13539346:14005169	1.60884	2.06875	1.76456
COX5B	2:98156083:101009015	1.65462	2.05963	2.07677
CPLX1	4:572655:1047300	1.64352	2.00152	1.83265
CPLX2	5:174132091:175495812	1.69766	2.0476	1.89871
CPSF1	8:145562163:145755043	1.67689	2.10329	2.05929
CPXM1	20:2680955:3020321	1.65399	1.97711	2.07419
CRBN	3:3192915:3479665	1.65203	2.06624	2.11838
CREB3L1	11:46331938:46395417	1.35296	1.96974	1.80671
CREB3L1	11:46138451:46331938	1.66024	1.96974	1.80671
CREG2	2:101922141:102053465	1.65462	2.01708	2.07677
CRIPAK	4:1296862:1418443	1.67705	1.98254	1.79118
CRY2	11:45434889:46023558	1.66024	1.99414	1.80671
CRYZ	1:75042346:76344001	1.68585	2.25956	1.82705
CSF1R	5:148895313:150177109	1.6768	1.99311	1.89708
CSMD1	8:4123098:4124130	0.128105	2.21893	2.18704
CSMD1	8:4847962:5474662	1.62857	2.1611	1.74846
CSMD1	8:3870609:3880378	1.22073	2.18447	1.7488
CSMD1	8:3789075:3792865	1.25663	2.18447	1.7488
CSMD1	8:3581897:3789075	1.62362	2.18447	1.7488
CSMD1	8:3792865:3870609	1.67199	2.18447	1.7488
CSMD1	8:4124611:4449549	1.62857	2.21893	1.74966
CSMD1	8:3898757:4115515	1.62404	2.18447	1.75357
CSMD1	8:4818457:4830294	1.62857	2.1611	1.77048
CSMD1	8:4561343:4804031	1.62857	2.23092	1.77048
CSMD1	8:4457189:4477209	1.62857	2.21893	1.78754
CSMD1	8:4479469:4538815	1.62857	2.23092	1.78754
CSNK1A1	5:148895313:150177109	1.6768	1.99311	1.89708
CSNK1G2	19:1950794:1951792	1.35657	2.25182	2.07102
CSNK1G3	5:121645744:124219783	1.68614	2.17124	1.94947
CSPG5	3:47535626:48696317	1.67564	1.99747	2.03961
CSRNP1	3:38277483:39908110	1.66493	2.05372	2.06214
CTBP1	4:1090205:1242240	1.67705	2.00236	1.82664
CTDNEP1	17:7082224:7336565	1.26521	1.91588	1.7873
CTDSPL	3:37454107:38176720	1.65745	2.04981	2.03965
CTH	1:70824336:71108280	1.68421	2.24634	1.81763
CTNNA1	5:137412874:138624219	1.69358	2.01947	1.92597
CUL7	6:43013980:43025862	1.44327	1.95169	2.03199
CX3CR1	3:38277483:39908110	1.66493	2.05372	2.06214
CXCL11	4:76948602:76955048	0.728074	2.17983	1.82447
CXCL14	5:134068699:135087461	1.67765	1.98113	1.94425
CXCL16	17:4633013:5044333	1.2158	1.93708	1.79799
CXCR4	2:136733414:137161468	1.65333	2.00058	2.07442
CXXC5	5:138668445:139486144	1.69358	1.99076	1.9284
CYB5D1	17:7582226:7776934	1.2649	1.91588	1.7873
CYB5R2	11:7663752:7966076	1.68892	2.08531	1.77169
CYC1	8:144754082:145550053	1.67689	2.15665	2.05929
CYHR1	8:145562163:145755043	1.67689	2.10329	2.05929
CYP11B1	8:143740883:143961262	1.59909	2.05011	1.99732
CYP27C1	2:127678163:128445127	1.64576	1.99062	2.07046
CYP7A1	8:58137042:59438763	1.63179	2.16691	1.79694
CYP8B1	3:42374907:43196701	1.66493	2.04915	2.05623
DAB1	1:57208458:58744117	1.60515	2.02905	2.21627
DARS	2:136733414:137161468	1.65333	2.00058	2.07442
DAZL	3:16644409:17181632	1.68739	2.25028	2.1453
DBI	2:118863131:120622975	1.63996	1.97842	2.05722
DBN1	5:176548393:177233989	1.67425	1.9784	1.88754
DBX1	11:20132635:20431468	1.68944	2.10262	1.7965
DCP2	5:111242232:113090174	1.68008	2.16423	2.21207
DCTN4	5:148895313:150177109	1.6768	1.99311	1.89708
DDB2	11:46872549:47375476	1.67603	1.97122	2.21089
DDX11L2	2:114264452:114841912	1.69998	2.02783	2.04608
DDX18	2:116664763:118863131	1.63996	2.19687	2.05722
DDX41	5:176548393:177233989	1.67425	1.9784	1.88754
DDX46	5:134068699:135087461	1.67765	1.98113	1.94425
DDX60L	4:169332622:169346569	1.5897	2.13508	1.74058
DEFA1	8:6857126:7055123	1.69859	1.98116	1.71496
DEFA1B	8:6857126:7055123	1.69859	1.98116	1.71496
DEFA3	8:6857126:7055123	1.69859	1.98116	1.71496
DEFA4	8:6160277:6825278	1.62172	1.98116	1.75648
DEFA5	8:6857126:7055123	1.69859	1.98116	1.71496
DEFA6	8:6160277:6825278	1.62172	1.98116	1.75648
DEFB1	8:6160277:6825278	1.62172	1.98116	1.75648
DEFB109P1	8:12000355:12573979	1.66701	1.98006	1.78087
DEFB130	8:12000355:12573979	1.66701	1.98006	1.78087
DEFT1P	8:6857126:7055123	1.69859	1.98116	1.71496
DEFT1P2	8:6857126:7055123	1.69859	1.98116	1.71496
DENND3	8:140761604:142558690	1.63586	2.05011	1.99732
DEPDC1	1:68712852:70522995	1.68421	2.25202	1.81763
DGAT1	8:144754082:145550053	1.67689	2.15665	2.05929
DGKQ	4:572655:1047300	1.64352	2.00152	1.83265
DGKZ	11:46331938:46395417	1.35296	1.96974	1.80671
DGKZ	11:46395417:46606351	1.68501	1.96974	1.80671
DHCR24	1:55182425:55383788	1.13539	1.98051	2.22108
DHX30	3:47535626:48696317	1.67564	1.99747	2.03961
DIAPH1	5:140558722:142267353	1.69213	2.00971	1.94207
DIP2B	12:50966661:50993112	0.084046	2.0236	2.06757
DIRAS3	1:67779233:68712852	1.68421	2.07912	1.81763
DKFZp779M0652	11:45434889:46023558	1.66024	1.99414	1.80671
DKK3	11:11976659:12316237	1.68944	1.94344	1.81756
DKK4	8:42193497:43089838	1.69095	2.03669	1.82701
DLC1	8:12573979:13148878	1.66701	2.14652	1.78087
DLEC1	3:37454107:38176720	1.65745	2.04981	2.03965
DLG4	17:7082224:7336565	1.26521	1.91588	1.7873
DLGAP2	8:1300018:1828560	1.64876	1.96361	1.78993
DNAH1	3:51607294:52968763	1.66753	1.99747	2.06588
DNAH2	17:7582226:7776934	1.2649	1.91588	1.7873
DNAJC18	5:138668445:139486144	1.69358	1.99076	1.9284
DND1	5:139920049:140083166	1.69358	1.93456	1.9284
DOC2B	17:18644:20503	1.5247	1.95785	1.70056
DOCK10	2:225624487:226517209	1.6562	2.20054	1.79379
DOCK2	5:168917672:169435554	1.64681	2.00086	1.89657
DOCK2	5:169440739:170129794	1.64681	1.95702	1.89871
DOCK5	8:24990149:25064345	1.69289	2.16575	1.85945
DOK3	5:176548393:177233989	1.67425	1.9784	1.88754
DPH1	17:1914222:2262139	1.68544	1.95234	1.79799
DPH3	3:15847909:16621388	1.68739	2.11813	2.05781
DPP10	2:115110346:115627908	1.69998	2.23706	2.12606
DPP10	2:115643485:116661406	1.63996	2.25476	2.14227
DPP6	7:154448641:154449405	1.33214	2.10108	2.14715
DPYSL3	5:146757872:147270646	1.6768	2.15723	1.94207
DRD1	5:174132091:175495812	1.69766	2.0476	1.89871
DUSP1	5:170620625:172971287	1.67686	1.96075	1.89871
DUSP2	2:95347033:97767092	1.68725	1.96244	2.04621
